instruction,intent,key,group,split
is it possible to cancel order {{Order Number}},cancel_order,is it possible to cancel order {{order number}},is it possible to cancel order placeholder,train
i cant afford order {{Order Number}},cancel_order,i cant afford order {{order number}},i cant afford order placeholder,train
"I can no longer afford purchase {{Order Number}}, cancel it",cancel_order,"i can no longer afford purchase {{order number}}, cancel it",i can no longer afford purchase placeholder cancel it,train
"I ordered some products, how to cancel purchase {{Order Number}}?",cancel_order,"i ordered some products, how to cancel purchase {{order number}}?",i ordered some products how to cancel purchase placeholder,train
"I can't afford order {{Order Number}}, how can I cancel it?",cancel_order,"i can't afford order {{order number}}, how can i cancel it?",i can t afford order placeholder how can i cancel it,train
i cannot pay for my last item cancel order {{Order Number}},cancel_order,i cannot pay for my last item cancel order {{order number}},i cannot pay for my last item cancel order placeholder,train
I have to cancel order {{Order Number}},cancel_order,i have to cancel order {{order number}},i have to cancel order placeholder,train
is it possible to cancel order {{Order Number}} ?,cancel_order,is it possible to cancel order {{order number}} ?,is it possible to cancel order placeholder,train
i do not know what to do to cancel purchase {{Order Number}},cancel_order,i do not know what to do to cancel purchase {{order number}},i do not know what to do to cancel purchase placeholder,train
"I can't afford order {{Order Number}}, I need help to cancel it",cancel_order,"i can't afford order {{order number}}, i need help to cancel it",i can t afford order placeholder i need help to cancel it,train
where culd i cancel order {{Order Number}},cancel_order,where culd i cancel order {{order number}},where culd i cancel order placeholder,train
i can no longer arford purchase {{Order Number}},cancel_order,i can no longer arford purchase {{order number}},i can no longer arford purchase placeholder,train
assistance to cancel purchased {{Order Number}},cancel_order,assistance to cancel purchased {{order number}},assistance to cancel purchased placeholder,train
want help canceling purchase {{Order Number}},cancel_order,want help canceling purchase {{order number}},want help canceling purchase placeholder,train
"I purchased some items, help me cancel order {{Order Number}}",cancel_order,"i purchased some items, help me cancel order {{order number}}",i purchased some items help me cancel order placeholder,train
I need help cancelnig purchase {{Order Number}},cancel_order,i need help cancelnig purchase {{order number}},i need help cancelnig purchase placeholder,train
I nee assistance to cancel purchase {{Order Number}},cancel_order,i nee assistance to cancel purchase {{order number}},i nee assistance to cancel purchase placeholder,train
need assistance witgh cancelling order {{Order Number}},cancel_order,need assistance witgh cancelling order {{order number}},need assistance witgh cancelling order placeholder,train
"I bought some item, cancel purchase {{Order Number}}",cancel_order,"i bought some item, cancel purchase {{order number}}",i bought some item cancel purchase placeholder,train
how do i cancel purchase {{Order Number}},cancel_order,how do i cancel purchase {{order number}},how do i cancel purchase placeholder,train
how can i cancel purchase {{Order Number}},cancel_order,how can i cancel purchase {{order number}},how can i cancel purchase placeholder,train
how do I cancel purchae {{Order Number}}?,cancel_order,how do i cancel purchae {{order number}}?,how do i cancel purchae placeholder,train
I don't know how I could cancel purchase {{Order Number}},cancel_order,i don't know how i could cancel purchase {{order number}},i don t know how i could cancel purchase placeholder,train
help to cancel order {{Order Number}},cancel_order,help to cancel order {{order number}},help to cancel order placeholder,train
"I bought some articles, how to cancel order {{Order Number}}?",cancel_order,"i bought some articles, how to cancel order {{order number}}?",i bought some articles how to cancel order placeholder,train
I don't know how I can camcel purchase {{Order Number}},cancel_order,i don't know how i can camcel purchase {{order number}},i don t know how i can camcel purchase placeholder,train
i do not know how i can canmcel order {{Order Number}},cancel_order,i do not know how i can canmcel order {{order number}},i do not know how i can canmcel order placeholder,train
i need assistance canceling roder {{Order Number}},cancel_order,i need assistance canceling roder {{order number}},i need assistance canceling roder placeholder,train
can uhelp me canceling purchase {{Order Number}},cancel_order,can uhelp me canceling purchase {{order number}},can uhelp me canceling purchase placeholder,train
I have a question about canceling order {{Order Number}},cancel_order,i have a question about canceling order {{order number}},i have a question about canceling order placeholder,train
I don't want order {{Order Number}},cancel_order,i don't want order {{order number}},i don t want order placeholder,train
"I purchased some product, cancel order {{Order Number}}",cancel_order,"i purchased some product, cancel order {{order number}}",i purchased some product cancel order placeholder,train
